text,E,S,G,nonESG
Atlas Manufacturing continues to foster a culture of responsibility.,1,0,0,0
We prioritize being green and supporting sustainable practices at Acme Corp. Acme Corp updated its executive compensation policy after shareholder review.,1,0,1,0
Acme Corp reported quarterly revenue growth of 64% and exceeded guidance.,0,0,0,1
NovaSolutions set a target to source 28% renewable energy by 2031.,1,0,0,0
Atlas Manufacturing is committed to sustainability and being a responsible company. Atlas Manufacturing updated its executive compensation policy after shareholder review.,1,0,1,0
Acme Corp launched a new product that features longer battery life.,0,0,0,1
We prioritize being green and supporting sustainable practices at Atlas Manufacturing. Atlas Manufacturing launched a safety training program to improve inclusion across all sites.,1,1,0,0
Atlas Manufacturing launched a new product that features improved UX.,0,0,0,1
Acme Corp launched a new product that features improved UX.,0,0,0,1
We prioritize being green and supporting sustainable practices at Acme Corp. Acme Corp reported a 13% increase in workforce community engagement year-over-year. The board at Acme Corp approved new audit policy to strengthen wind.,1,1,1,0
Suncrest Inc reduced its wind by 28% after investing in solar panels.,1,0,0,0
Greenfield Ltd set a target to source 53% renewable energy by 2031.,1,0,0,0
Acme Corp updated its executive compensation policy after shareholder review. The initiative is part of the company's broader strategic plan.,0,0,1,0
NovaSolutions launched a safety training program to improve board across all sites. NovaSolutions updated its executive compensation policy after shareholder review.,0,1,1,0
We prioritize being green and supporting sustainable practices at Greenfield Ltd. Greenfield Ltd launched a safety training program to improve recycling across all sites.,1,1,0,0
NovaSolutions reported quarterly revenue growth of 36% and exceeded guidance.,0,0,0,1
Suncrest Inc reported quarterly revenue growth of 35% and exceeded guidance.,0,0,0,1
Atlas Manufacturing continues to foster a culture of responsibility.,1,0,0,0
Acme Corp launched a new product that features longer battery life.,0,0,0,1
Atlas Manufacturing reported quarterly revenue growth of 67% and exceeded guidance.,0,0,0,1
NovaSolutions reported quarterly revenue growth of 33% and exceeded guidance.,0,0,0,1
Suncrest Inc reported quarterly revenue growth of 43% and exceeded guidance.,0,0,0,1
Atlas Manufacturing launched a safety training program to improve labor rights across all sites.,0,1,0,0
Atlas Manufacturing reported quarterly revenue growth of 30% and exceeded guidance.,0,0,0,1
Atlas Manufacturing launched a new product that features improved UX.,0,0,0,1
We prioritize being green and supporting sustainable practices at Suncrest Inc. Suncrest Inc launched a diversity initiative to improve transparency across all sites.,1,1,0,0
Acme Corp continues to foster a culture of responsibility. Acme Corp updated its executive compensation policy after shareholder review.,1,0,1,0
Atlas Manufacturing updated its executive compensation policy after shareholder review.,0,0,1,0
We prioritize being green and supporting sustainable practices at Suncrest Inc.,1,0,0,0
Greenfield Ltd launched a safety training program to improve solar across all sites.,0,1,0,0
Greenfield Ltd is committed to sustainability and being a responsible company.,1,0,0,0
We prioritize being green and supporting sustainable practices at Greenfield Ltd. Greenfield Ltd updated its executive compensation policy after shareholder review. The initiative is part of the company's broader strategic plan.,1,0,1,0
Greenfield Ltd launched a safety training program to improve board across all sites. Greenfield Ltd updated its executive compensation policy after shareholder review.,0,1,1,0
Acme Corp launched a new product that features longer battery life. The initiative is part of the company's broader strategic plan.,0,0,0,1
Greenfield Ltd reported a 16% increase in workforce net-zero year-over-year. The board at Greenfield Ltd approved new transparency policy to strengthen net-zero. The initiative is part of the company's broader strategic plan.,0,1,1,0
Acme Corp launched a new product that features improved UX.,0,0,0,1
Greenfield Ltd launched a new product that features longer battery life.,0,0,0,1
Acme Corp reported quarterly revenue growth of 62% and exceeded guidance. The initiative is part of the company's broader strategic plan.,0,0,0,1
NovaSolutions launched a new product that features improved UX. The initiative is part of the company's broader strategic plan.,0,0,0,1
NovaSolutions launched a new product that features improved UX. The initiative is part of the company's broader strategic plan.,0,0,0,1
NovaSolutions launched a safety training program to improve waste management across all sites.,0,1,0,0
Greenfield Ltd reported quarterly revenue growth of 27% and exceeded guidance.,0,0,0,1
Atlas Manufacturing reduced its inclusion by 30% after investing in solar panels.,1,0,0,0
We prioritize being green and supporting sustainable practices at NovaSolutions. NovaSolutions reported a 29% increase in workforce community engagement year-over-year.,1,1,0,0
Acme Corp launched a new product that features longer battery life.,0,0,0,1
The board at Suncrest Inc approved new ethics policy to strengthen net-zero.,0,0,1,0
Suncrest Inc reported quarterly revenue growth of 44% and exceeded guidance.,0,0,0,1
Acme Corp reported a 15% increase in workforce wind year-over-year.,0,1,0,0
Suncrest Inc updated its executive compensation policy after shareholder review. The initiative is part of the company's broader strategic plan.,0,0,1,0
Acme Corp updated its executive compensation policy after shareholder review.,0,0,1,0
Atlas Manufacturing launched a new product that features longer battery life.,0,0,0,1
Acme Corp updated its executive compensation policy after shareholder review. The initiative is part of the company's broader strategic plan.,0,0,1,0
Greenfield Ltd reported quarterly revenue growth of 63% and exceeded guidance. The initiative is part of the company's broader strategic plan.,0,0,0,1
Atlas Manufacturing reported quarterly revenue growth of 15% and exceeded guidance.,0,0,0,1
Suncrest Inc launched a new product that features longer battery life.,0,0,0,1
Suncrest Inc reported quarterly revenue growth of 31% and exceeded guidance.,0,0,0,1
Suncrest Inc is committed to sustainability and being a responsible company. The initiative is part of the company's broader strategic plan.,1,0,0,0
NovaSolutions launched a diversity initiative to improve waste management across all sites.,0,1,0,0
Greenfield Ltd set a target to source 66% renewable energy by 2027.,1,0,0,0
Atlas Manufacturing launched a new product that features longer battery life.,0,0,0,1
Greenfield Ltd launched a new product that features improved UX.,0,0,0,1
Suncrest Inc is committed to sustainability and being a responsible company. Suncrest Inc reported a 35% increase in workforce renewable energy year-over-year.,1,1,0,0
Acme Corp launched a new product that features longer battery life.,0,0,0,1
Suncrest Inc is committed to sustainability and being a responsible company.,1,0,0,0
Atlas Manufacturing launched a new product that features longer battery life.,0,0,0,1
Greenfield Ltd updated its executive compensation policy after shareholder review.,0,0,1,0
Acme Corp reported quarterly revenue growth of 70% and exceeded guidance.,0,0,0,1
Atlas Manufacturing reported a 44% increase in workforce solar year-over-year.,0,1,0,0
Suncrest Inc reported quarterly revenue growth of 64% and exceeded guidance.,0,0,0,1
Atlas Manufacturing launched a safety training program to improve community engagement across all sites. Atlas Manufacturing updated its executive compensation policy after shareholder review.,0,1,1,0
Greenfield Ltd set a target to source 59% renewable energy by 2025.,1,0,0,0
Atlas Manufacturing reported a 13% increase in workforce recycling year-over-year.,0,1,0,0
Suncrest Inc is committed to sustainability and being a responsible company.,1,0,0,0
NovaSolutions reported quarterly revenue growth of 19% and exceeded guidance.,0,0,0,1
Greenfield Ltd continues to foster a culture of responsibility. Greenfield Ltd launched a safety training program to improve executive compensation across all sites. Greenfield Ltd updated its executive compensation policy after shareholder review.,1,1,1,0
Greenfield Ltd reported a 14% increase in workforce inclusion year-over-year. The board at Greenfield Ltd approved new transparency policy to strengthen recycling.,0,1,1,0
Atlas Manufacturing launched a new product that features improved UX. The initiative is part of the company's broader strategic plan.,0,0,0,1
Suncrest Inc is committed to sustainability and being a responsible company. Suncrest Inc reported a 40% increase in workforce labor rights year-over-year. The board at Suncrest Inc approved new transparency policy to strengthen carbon emissions.,1,1,1,0
Suncrest Inc launched a new product that features longer battery life. The initiative is part of the company's broader strategic plan.,0,0,0,1
Suncrest Inc is committed to sustainability and being a responsible company.,1,0,0,0
Atlas Manufacturing reported quarterly revenue growth of 60% and exceeded guidance.,0,0,0,1
Acme Corp is committed to sustainability and being a responsible company. Acme Corp launched a diversity initiative to improve solar across all sites. The board at Acme Corp approved new ethics policy to strengthen carbon emissions.,1,1,1,0
NovaSolutions continues to foster a culture of responsibility.,1,0,0,0
Greenfield Ltd continues to foster a culture of responsibility.,1,0,0,0
NovaSolutions launched a new product that features longer battery life.,0,0,0,1
Suncrest Inc is committed to sustainability and being a responsible company.,1,0,0,0
The board at Acme Corp approved new audit policy to strengthen audit.,0,0,1,0
Acme Corp reported quarterly revenue growth of 56% and exceeded guidance.,0,0,0,1
Acme Corp updated its executive compensation policy after shareholder review.,0,0,1,0
The board at Acme Corp approved new transparency policy to strengthen community engagement.,0,0,1,0
Atlas Manufacturing reported a 57% increase in workforce compliance year-over-year. The board at Atlas Manufacturing approved new transparency policy to strengthen waste management.,0,1,1,0
Suncrest Inc reported quarterly revenue growth of 48% and exceeded guidance.,0,0,0,1
Acme Corp reported quarterly revenue growth of 68% and exceeded guidance.,0,0,0,1
Acme Corp reported quarterly revenue growth of 60% and exceeded guidance.,0,0,0,1
Greenfield Ltd reported quarterly revenue growth of 66% and exceeded guidance. The initiative is part of the company's broader strategic plan.,0,0,0,1
The board at NovaSolutions approved new transparency policy to strengthen solar.,0,0,1,0
The board at Atlas Manufacturing approved new transparency policy to strengthen audit.,0,0,1,0
Acme Corp reported quarterly revenue growth of 26% and exceeded guidance.,0,0,0,1
We prioritize being green and supporting sustainable practices at Acme Corp.,1,0,0,0
Suncrest Inc launched a new product that features longer battery life.,0,0,0,1
Acme Corp set a target to source 11% renewable energy by 2029.,1,0,0,0
Greenfield Ltd launched a new product that features improved UX.,0,0,0,1
NovaSolutions updated its executive compensation policy after shareholder review.,0,0,1,0
Atlas Manufacturing launched a safety training program to improve employee safety across all sites.,0,1,0,0
Acme Corp launched a new product that features improved UX.,0,0,0,1
Acme Corp launched a safety training program to improve audit across all sites. The board at Acme Corp approved new ethics policy to strengthen renewable energy.,0,1,1,0
Atlas Manufacturing launched a diversity initiative to improve board across all sites.,0,1,0,0
NovaSolutions reduced its employee safety by 45% after investing in energy-efficient systems. NovaSolutions reported a 12% increase in workforce waste management year-over-year.,1,1,0,0
Suncrest Inc launched a new product that features longer battery life. The initiative is part of the company's broader strategic plan.,0,0,0,1
Acme Corp reported quarterly revenue growth of 51% and exceeded guidance.,0,0,0,1
Atlas Manufacturing launched a safety training program to improve solar across all sites. The board at Atlas Manufacturing approved new ethics policy to strengthen board.,0,1,1,0
Acme Corp reduced its recycling by 30% after investing in solar panels.,1,0,0,0
Atlas Manufacturing reported a 31% increase in workforce inclusion year-over-year.,0,1,0,0
Greenfield Ltd launched a safety training program to improve net-zero across all sites.,0,1,0,0
Acme Corp reported quarterly revenue growth of 46% and exceeded guidance.,0,0,0,1
We prioritize being green and supporting sustainable practices at Suncrest Inc.,1,0,0,0
Greenfield Ltd launched a diversity initiative to improve employee safety across all sites.,0,1,0,0
Atlas Manufacturing continues to foster a culture of responsibility. Atlas Manufacturing launched a diversity initiative to improve transparency across all sites.,1,1,0,0
Acme Corp updated its executive compensation policy after shareholder review.,0,0,1,0
Suncrest Inc launched a new product that features improved UX.,0,0,0,1
Atlas Manufacturing launched a diversity initiative to improve carbon emissions across all sites.,0,1,0,0
Greenfield Ltd set a target to source 63% renewable energy by 2031. Greenfield Ltd reported a 43% increase in workforce compliance year-over-year.,1,1,0,0
Atlas Manufacturing launched a new product that features longer battery life.,0,0,0,1
Greenfield Ltd reported quarterly revenue growth of 63% and exceeded guidance.,0,0,0,1
Suncrest Inc set a target to source 10% renewable energy by 2027. Suncrest Inc reported a 51% increase in workforce transparency year-over-year.,1,1,0,0
Greenfield Ltd reported quarterly revenue growth of 69% and exceeded guidance.,0,0,0,1
Suncrest Inc continues to foster a culture of responsibility.,1,0,0,0
Greenfield Ltd continues to foster a culture of responsibility.,1,0,0,0
NovaSolutions launched a new product that features longer battery life. The initiative is part of the company's broader strategic plan.,0,0,0,1
Greenfield Ltd reported quarterly revenue growth of 46% and exceeded guidance.,0,0,0,1
NovaSolutions reported quarterly revenue growth of 17% and exceeded guidance.,0,0,0,1
The board at NovaSolutions approved new ethics policy to strengthen wind. The initiative is part of the company's broader strategic plan.,0,0,1,0
NovaSolutions launched a new product that features longer battery life.,0,0,0,1
Acme Corp reported a 41% increase in workforce transparency year-over-year.,0,1,0,0
Acme Corp launched a new product that features longer battery life.,0,0,0,1
NovaSolutions launched a new product that features improved UX. The initiative is part of the company's broader strategic plan.,0,0,0,1
Greenfield Ltd updated its executive compensation policy after shareholder review.,0,0,1,0
Acme Corp is committed to sustainability and being a responsible company. The initiative is part of the company's broader strategic plan.,1,0,0,0
Atlas Manufacturing updated its executive compensation policy after shareholder review. The initiative is part of the company's broader strategic plan.,0,0,1,0
NovaSolutions reported quarterly revenue growth of 42% and exceeded guidance. The initiative is part of the company's broader strategic plan.,0,0,0,1
The board at Atlas Manufacturing approved new transparency policy to strengthen wind.,0,0,1,0
NovaSolutions is committed to sustainability and being a responsible company.,1,0,0,0
Atlas Manufacturing reported quarterly revenue growth of 19% and exceeded guidance.,0,0,0,1
Suncrest Inc is committed to sustainability and being a responsible company. The initiative is part of the company's broader strategic plan.,1,0,0,0
Acme Corp launched a safety training program to improve renewable energy across all sites.,0,1,0,0
The board at Greenfield Ltd approved new audit policy to strengthen renewable energy.,0,0,1,0
Suncrest Inc launched a new product that features improved UX. The initiative is part of the company's broader strategic plan.,0,0,0,1
Atlas Manufacturing is committed to sustainability and being a responsible company. The board at Atlas Manufacturing approved new audit policy to strengthen renewable energy.,1,0,1,0
Atlas Manufacturing reported quarterly revenue growth of 46% and exceeded guidance.,0,0,0,1
NovaSolutions continues to foster a culture of responsibility.,1,0,0,0
The board at Suncrest Inc approved new transparency policy to strengthen recycling. The initiative is part of the company's broader strategic plan.,0,0,1,0
Atlas Manufacturing reported quarterly revenue growth of 57% and exceeded guidance. The initiative is part of the company's broader strategic plan.,0,0,0,1
Acme Corp reported a 22% increase in workforce audit year-over-year.,0,1,0,0
Greenfield Ltd set a target to source 47% renewable energy by 2026. Greenfield Ltd launched a safety training program to improve board across all sites. The board at Greenfield Ltd approved new ethics policy to strengthen recycling.,1,1,1,0
Atlas Manufacturing launched a safety training program to improve board across all sites.,0,1,0,0
Acme Corp launched a new product that features longer battery life. The initiative is part of the company's broader strategic plan.,0,0,0,1
Acme Corp reported a 22% increase in workforce inclusion year-over-year.,0,1,0,0
Suncrest Inc launched a new product that features longer battery life.,0,0,0,1
Greenfield Ltd reported quarterly revenue growth of 12% and exceeded guidance.,0,0,0,1
NovaSolutions reduced its transparency by 42% after investing in wind turbines. NovaSolutions launched a diversity initiative to improve waste management across all sites. The board at NovaSolutions approved new transparency policy to strengthen solar.,1,1,1,0
Atlas Manufacturing reported quarterly revenue growth of 55% and exceeded guidance.,0,0,0,1
Greenfield Ltd launched a new product that features longer battery life. The initiative is part of the company's broader strategic plan.,0,0,0,1
Acme Corp updated its executive compensation policy after shareholder review.,0,0,1,0
The board at Greenfield Ltd approved new ethics policy to strengthen recycling. The initiative is part of the company's broader strategic plan.,0,0,1,0
Suncrest Inc reported quarterly revenue growth of 63% and exceeded guidance.,0,0,0,1
Acme Corp launched a new product that features longer battery life.,0,0,0,1
Greenfield Ltd is committed to sustainability and being a responsible company.,1,0,0,0
Acme Corp reported quarterly revenue growth of 51% and exceeded guidance.,0,0,0,1
NovaSolutions reported quarterly revenue growth of 53% and exceeded guidance.,0,0,0,1
Suncrest Inc reported quarterly revenue growth of 63% and exceeded guidance. The initiative is part of the company's broader strategic plan.,0,0,0,1
Greenfield Ltd updated its executive compensation policy after shareholder review.,0,0,1,0
Atlas Manufacturing reported quarterly revenue growth of 54% and exceeded guidance.,0,0,0,1
NovaSolutions continues to foster a culture of responsibility.,1,0,0,0
Acme Corp launched a new product that features longer battery life.,0,0,0,1
Acme Corp launched a safety training program to improve employee safety across all sites.,0,1,0,0
Greenfield Ltd continues to foster a culture of responsibility. Greenfield Ltd launched a safety training program to improve wind across all sites. Greenfield Ltd updated its executive compensation policy after shareholder review.,1,1,1,0
Greenfield Ltd continues to foster a culture of responsibility. Greenfield Ltd reported a 45% increase in workforce inclusion year-over-year.,1,1,0,0
Suncrest Inc reported a 65% increase in workforce waste management year-over-year. Suncrest Inc updated its executive compensation policy after shareholder review. The initiative is part of the company's broader strategic plan.,0,1,1,0
Atlas Manufacturing reported quarterly revenue growth of 62% and exceeded guidance.,0,0,0,1
NovaSolutions is committed to sustainability and being a responsible company.,1,0,0,0
NovaSolutions continues to foster a culture of responsibility.,1,0,0,0
Greenfield Ltd reported quarterly revenue growth of 60% and exceeded guidance. The initiative is part of the company's broader strategic plan.,0,0,0,1
Acme Corp launched a new product that features longer battery life.,0,0,0,1
Greenfield Ltd set a target to source 28% renewable energy by 2032. Greenfield Ltd launched a safety training program to improve wind across all sites.,1,1,0,0
Acme Corp launched a new product that features longer battery life.,0,0,0,1
Atlas Manufacturing is committed to sustainability and being a responsible company.,1,0,0,0
Atlas Manufacturing reported quarterly revenue growth of 27% and exceeded guidance. The initiative is part of the company's broader strategic plan.,0,0,0,1
Suncrest Inc launched a new product that features longer battery life.,0,0,0,1
We prioritize being green and supporting sustainable practices at Greenfield Ltd. Greenfield Ltd launched a diversity initiative to improve executive compensation across all sites.,1,1,0,0
Greenfield Ltd reduced its diversity by 5% after investing in wind turbines. The board at Greenfield Ltd approved new transparency policy to strengthen transparency.,1,0,1,0
Suncrest Inc reported quarterly revenue growth of 33% and exceeded guidance.,0,0,0,1
Suncrest Inc updated its executive compensation policy after shareholder review. The initiative is part of the company's broader strategic plan.,0,0,1,0
Acme Corp reported quarterly revenue growth of 60% and exceeded guidance.,0,0,0,1
Greenfield Ltd set a target to source 38% renewable energy by 2027.,1,0,0,0
Atlas Manufacturing set a target to source 18% renewable energy by 2027.,1,0,0,0
Acme Corp reported a 68% increase in workforce diversity year-over-year.,0,1,0,0
Greenfield Ltd is committed to sustainability and being a responsible company. Greenfield Ltd launched a safety training program to improve compliance across all sites. The initiative is part of the company's broader strategic plan.,1,1,0,0
The board at NovaSolutions approved new ethics policy to strengthen renewable energy. The initiative is part of the company's broader strategic plan.,0,0,1,0
Greenfield Ltd launched a safety training program to improve renewable energy across all sites.,0,1,0,0
We prioritize being green and supporting sustainable practices at Greenfield Ltd. Greenfield Ltd launched a safety training program to improve recycling across all sites.,1,1,0,0
Acme Corp reported quarterly revenue growth of 24% and exceeded guidance. The initiative is part of the company's broader strategic plan.,0,0,0,1
Atlas Manufacturing set a target to source 38% renewable energy by 2027.,1,0,0,0
We prioritize being green and supporting sustainable practices at Greenfield Ltd. The initiative is part of the company's broader strategic plan.,1,0,0,0
Greenfield Ltd continues to foster a culture of responsibility. Greenfield Ltd launched a diversity initiative to improve recycling across all sites.,1,1,0,0
NovaSolutions set a target to source 47% renewable energy by 2029. NovaSolutions reported a 61% increase in workforce transparency year-over-year. The initiative is part of the company's broader strategic plan.,1,1,0,0
Acme Corp reported a 42% increase in workforce executive compensation year-over-year. Acme Corp updated its executive compensation policy after shareholder review.,0,1,1,0
The board at NovaSolutions approved new audit policy to strengthen audit. The initiative is part of the company's broader strategic plan.,0,0,1,0
Atlas Manufacturing reported a 20% increase in workforce labor rights year-over-year.,0,1,0,0
Greenfield Ltd continues to foster a culture of responsibility. The initiative is part of the company's broader strategic plan.,1,0,0,0
